"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"238","sp364",364,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Monosporascus",NA,"plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"239","sp368",368,"Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Sporothrix","sclerotialis","plant_pathogen","wood_saprotroph",NA,NA,"none",NA,NA
"240","sp372",372,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"241","sp373",373,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora",NA,"litter_saprotroph","plant_pathogen",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"242","sp374",374,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","chartarum","plant_pathogen","litter_saprotroph",NA,NA,"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)",NA,NA
"243","sp375",375,"Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","cucumerina","plant_pathogen","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"244","sp377",377,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","subarcticum","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"245","sp381",381,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Auxarthron",NA,"soil_saprotroph","animal_decomposer","keratinolytic",NA,"cleistothecium_(closed,_spherical)",NA,NA
"246","sp382",382,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Paecilomyces","penicillatus","foliar_endophyte","litter_saprotroph","soft_rot",NA,NA,NA,NA
"247","sp385",385,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella","rhossiliensis","animal_parasite","animal_decomposer",NA,NA,NA,NA,NA
